N,T,trial,iterations,fitness,time,fevals
20,8,0,0,13.0,4.79509999991e-05,143,0
20,8,0,10,13.0,8.69530000003e-05,262,0
20,8,0,20,13.0,0.000124246999995,377,1
20,8,0,30,13.0,0.000161169999991,493,2
20,8,0,40,13.0,0.000208823999991,612,3
20,8,0,50,13.0,0.000280324999991,725,4
20,8,0,60,13.0,0.000318560999993,847,5
20,8,0,70,14.0,0.000360499999992,961,6
20,8,0,80,14.0,0.000397086999996,1076,0
20,8,0,90,14.0,0.000434864999995,1196,1
20,8,0,100,14.0,0.000477552,1314,2
20,8,0,110,14.0,0.000546428,1431,3
20,8,0,120,16.0,0.000599793000006,1549,4
20,8,0,130,14.0,0.000640422000004,1661,0
20,8,0,140,14.0,0.000679261000002,1782,1
20,8,0,150,14.0,0.000730634999996,1900,2
20,8,0,160,14.0,0.000768164,2020,3
20,8,0,170,14.0,0.000817994000002,2138,4
20,8,0,180,14.0,0.000853532999997,2253,5
20,8,0,190,14.0,0.000907645999995,2369,6
20,8,0,200,16.0,0.000959404999996,2486,7
20,8,0,210,16.0,0.001010427,2609,8
20,8,0,220,16.0,0.001046565,2727,9
20,8,0,230,17.0,0.001105779,2843,10
20,8,0,240,16.0,0.001155797,2963,0
20,8,0,250,17.0,0.001205939,3082,1
20,8,0,260,16.0,0.00127450700001,3202,2
20,8,0,270,16.0,0.001324485,3318,3
20,8,0,280,16.0,0.00136223400001,3438,4
20,8,0,290,16.0,0.00141425700001,3556,5
20,8,0,300,16.0,0.00146514900001,3678,6
20,8,0,310,19.0,0.00153600400001,3798,7
20,8,0,320,16.0,0.00161034200001,3922,0
20,8,0,330,19.0,0.001648057,4038,1
20,8,0,340,19.0,0.001700165,4152,2
20,8,0,350,19.0,0.001828726,4267,3
20,8,0,360,20.0,0.001867933,4386,4
20,8,0,370,20.0,0.001911505,4504,0
20,8,0,380,20.0,0.001951513,4623,1
20,8,0,390,20.0,0.002002908,4741,2
20,8,0,400,20.0,0.002053588,4861,3
20,8,0,410,20.0,0.002114044,4979,4
20,8,0,420,20.0,0.00216539499999,5098,5
20,8,0,430,20.0,0.00221613199999,5220,6
20,8,0,440,20.0,0.002254065,5343,7
20,8,0,450,20.0,0.002291336,5462,8
20,8,0,460,20.0,0.002328524,5577,9
20,8,0,470,20.0,0.002364995,5697,10
20,8,0,480,20.0,0.002418439,5820,11
20,8,0,490,20.0,0.00245583700001,5940,12
20,8,0,500,20.0,0.002497854,6062,13
20,8,0,510,20.0,0.00254990600001,6183,14
20,8,0,520,20.0,0.00261392800001,6302,15
20,8,0,530,20.0,0.00265221400001,6426,16
20,8,0,540,20.0,0.00271057100001,6541,17
20,8,0,550,20.0,0.00274613300001,6654,18
20,8,0,560,20.0,0.00279540100001,6773,19
20,8,0,570,20.0,0.00284496900001,6891,20
20,8,0,580,20.0,0.00291798200001,7006,21
20,8,0,590,20.0,0.00295563200001,7127,22
20,8,0,600,20.0,0.00300835200001,7243,23
20,8,0,610,20.0,0.00304417200001,7361,24
20,8,0,620,20.0,0.00311084900001,7473,25
20,8,0,630,20.0,0.00316000000001,7593,26
20,8,0,640,20.0,0.00324152900001,7709,27
20,8,0,650,20.0,0.00327955000001,7830,28
20,8,0,660,20.0,0.00332885500001,7949,29
20,8,0,670,20.0,0.003399631,8070,30
20,8,0,680,20.0,0.00343549900001,8190,31
20,8,0,690,20.0,0.00348130900001,8311,32
20,8,0,700,20.0,0.00352049800001,8431,33
20,8,0,710,20.0,0.00355619400001,8547,34
20,8,0,720,20.0,0.00362734500001,8666,35
20,8,0,730,20.0,0.00366310500002,8786,36
20,8,0,740,20.0,0.00370388600001,8903,37
20,8,0,750,20.0,0.00374149300001,9023,38
20,8,0,760,20.0,0.00377807700001,9141,39
20,8,0,770,20.0,0.00381357200001,9259,40
20,8,0,780,20.0,0.003878495,9378,41
20,8,0,790,20.0,0.003919942,9498,42
20,8,0,800,20.0,0.00396934999999,9615,43
