N,T,trial,iterations,fitness,time,fevals
20,8,0,0,10.0,0.00168666199988,200,0
20,8,0,10,10.0,0.00314862200003,420,0
20,8,0,20,11.0,0.00469440799998,640,1
20,8,0,30,12.0,0.00639188900004,860,0
20,8,0,40,18.0,0.00784249600019,1080,0
20,8,0,50,18.0,0.00930407600026,1300,0
20,8,0,60,18.0,0.0107207900001,1520,1
20,8,0,70,18.0,0.0121406019998,1740,2
20,8,0,80,18.0,0.0135478039997,1960,3
20,8,0,90,17.0,0.0149459049999,2180,4
20,8,0,100,19.0,0.0164283669997,2400,5
20,8,0,110,15.0,0.0178532439995,2620,0
20,8,0,120,17.0,0.0192264709995,2840,1
20,8,0,130,15.0,0.0213416079991,3060,2
20,8,0,140,17.0,0.0231572299995,3280,3
20,8,0,150,16.0,0.0245360979998,3500,4
20,8,0,160,18.0,0.025842993,3720,5
20,8,0,170,20.0,0.0273154769998,3940,6
20,8,0,180,16.0,0.0286344519996,4160,0
20,8,0,190,17.0,0.0300893299996,4380,1
20,8,0,200,19.0,0.0315008019993,4600,2
20,8,0,210,17.0,0.0328858489993,4820,3
20,8,0,220,15.0,0.0343766729993,5040,4
20,8,0,230,16.0,0.0357792549994,5260,5
20,8,0,240,17.0,0.0371788379994,5480,6
20,8,0,250,15.0,0.0385714539993,5700,7
20,8,0,260,16.0,0.0400070119995,5920,8
20,8,0,270,20.0,0.0418560229996,6140,9
20,8,0,280,20.0,0.0430975369995,6360,10
20,8,0,290,20.0,0.0443990439994,6580,11
20,8,0,300,20.0,0.0456728519994,6800,12
20,8,0,310,20.0,0.0483351679995,7020,13
20,8,0,320,20.0,0.0500408099997,7240,14
20,8,0,330,20.0,0.0515457759998,7460,15
20,8,0,340,20.0,0.0528121559996,7680,16
20,8,0,350,20.0,0.0540724459997,7900,17
20,8,0,360,20.0,0.0553630789996,8120,18
20,8,0,370,17.0,0.0567564409994,8340,19
20,8,0,380,15.0,0.0581584339993,8560,20
20,8,0,390,15.0,0.059433215999,8780,21
20,8,0,400,15.0,0.0608014779991,9000,22
20,8,0,410,16.0,0.0623038339991,9220,23
20,8,0,420,16.0,0.0637469669991,9440,24
20,8,0,430,16.0,0.0651030369995,9660,25
20,8,0,440,19.0,0.0665566929997,9880,26
20,8,0,450,16.0,0.067963345,10100,27
20,8,0,460,17.0,0.0694848329999,10320,28
20,8,0,470,18.0,0.0709690110002,10540,29
20,8,0,480,18.0,0.0724299490003,10760,30
20,8,0,490,13.0,0.073843747,10980,31
20,8,0,500,13.0,0.0751968959999,11200,32
20,8,0,510,14.0,0.0765476809997,11420,33
20,8,0,520,14.0,0.0780728249997,11640,34
20,8,0,530,14.0,0.0799204399996,11860,35
20,8,0,540,14.0,0.0819899849994,12080,36
20,8,0,550,14.0,0.0836898409993,12300,37
20,8,0,560,13.0,0.0853399539997,12520,38
20,8,0,570,12.0,0.0870399519995,12740,39
20,8,0,580,14.0,0.0891704629998,12960,40
20,8,0,590,15.0,0.091174486,13180,41
20,8,0,600,12.0,0.0934167509999,13400,42
20,8,0,610,13.0,0.0952550840002,13620,43
20,8,0,620,14.0,0.0969276630003,13840,44
20,8,0,630,10.0,0.0985466520001,14060,45
20,8,0,640,10.0,0.100028255,14280,46
20,8,0,650,11.0,0.101559352,14500,47
20,8,0,660,14.0,0.10312192,14720,48
20,8,0,670,14.0,0.104597236,14940,49
20,8,0,680,15.0,0.106160187001,15160,50
20,8,0,690,15.0,0.107905047,15380,51
20,8,0,700,17.0,0.109446425,15600,52
20,8,0,710,19.0,0.110904623,15820,53
20,8,0,720,19.0,0.11228895,16040,54
20,8,0,730,19.0,0.113556530001,16260,55
20,8,0,740,19.0,0.114838154001,16480,56
20,8,0,750,19.0,0.116059576001,16700,57
20,8,0,760,20.0,0.117306481001,16920,58
20,8,0,770,20.0,0.118525422001,17140,59
20,8,0,780,20.0,0.119921360001,17360,60
20,8,0,790,20.0,0.121169630001,17580,61
20,8,0,800,20.0,0.122589412001,17800,62
20,8,0,810,20.0,0.124796333001,18020,63
20,8,0,820,20.0,0.126377917001,18240,64
20,8,0,830,18.0,0.127779092001,18460,65
20,8,0,840,18.0,0.129180586001,18680,66
20,8,0,850,14.0,0.130844687001,18900,67
20,8,0,860,14.0,0.132315819001,19120,68
20,8,0,870,16.0,0.133653702001,19340,69
20,8,0,880,14.0,0.135005149001,19560,70
20,8,0,890,16.0,0.136389054001,19780,71
20,8,0,900,19.0,0.137730541001,20000,72
20,8,0,910,19.0,0.139401717001,20220,73
20,8,0,920,16.0,0.140901691001,20440,74
20,8,0,930,16.0,0.142252230001,20660,75
20,8,0,940,18.0,0.143584826001,20880,76
20,8,0,950,16.0,0.145130333001,21100,77
20,8,0,960,16.0,0.146468795001,21320,78
20,8,0,970,16.0,0.147837319001,21540,79
20,8,0,980,16.0,0.149237977001,21760,80
20,8,0,990,19.0,0.150955524001,21980,81
20,8,0,1000,16.0,0.152464772001,22200,82
20,8,0,1010,16.0,0.153859277001,22420,83
20,8,0,1020,12.0,0.155257558,22640,84
20,8,0,1030,17.0,0.156624528,22860,85
20,8,0,1040,19.0,0.158181968,23080,86
20,8,0,1050,17.0,0.159650917,23300,87
20,8,0,1060,16.0,0.16113396,23520,88
20,8,0,1070,16.0,0.162499243001,23740,89
20,8,0,1080,18.0,0.163918877,23960,90
20,8,0,1090,19.0,0.165474065001,24180,91
20,8,0,1100,15.0,0.167264651001,24400,92
20,8,0,1110,18.0,0.169098399,24620,93
20,8,0,1120,20.0,0.170467321,24840,94
20,8,0,1130,20.0,0.172001037,25060,95
20,8,0,1140,19.0,0.173316114,25280,96
20,8,0,1150,19.0,0.17466677,25500,97
20,8,0,1160,19.0,0.175956822,25720,98
20,8,0,1170,19.0,0.177233307,25940,99
20,8,0,1170,20.0,0.177233307,25940,optimal
20,8,1,0,8.0,0.00161720799997,200,0
20,8,1,10,9.0,0.00325220500008,420,0
20,8,1,20,17.0,0.00511143599988,640,0
20,8,1,30,17.0,0.00686506900001,860,0
20,8,1,40,15.0,0.00836356100035,1080,1
20,8,1,50,17.0,0.00980082400065,1300,2
20,8,1,60,13.0,0.011218173001,1520,3
20,8,1,70,14.0,0.0126339770009,1740,4
20,8,1,80,14.0,0.0140635710009,1960,5
20,8,1,90,13.0,0.0156289760012,2180,6
20,8,1,100,16.0,0.0171032970011,2400,7
20,8,1,110,16.0,0.0187445410011,2620,8
20,8,1,120,10.0,0.0209976270012,2840,9
20,8,1,130,13.0,0.0226304670014,3060,10
20,8,1,140,11.0,0.0240852010015,3280,11
20,8,1,150,18.0,0.0256403880016,3500,12
20,8,1,160,13.0,0.0271605020021,3720,0
