N,T,trial,iterations,fitness,time,fevals
20,8,0,0,6.0,0.000257217,11,0
20,8,0,10,9.0,0.000420888,21,0
20,8,0,20,11.0,0.000567338,31,0
20,8,0,30,11.0,0.000715385,41,0
20,8,0,40,14.0,0.00083459,51,1
20,8,0,50,14.0,0.000992717,61,0
20,8,0,60,15.0,0.001085035,71,1
20,8,0,70,16.0,0.001187259,81,0
20,8,0,80,16.0,0.001293953,91,0
20,8,0,90,16.0,0.001366551,101,1
20,8,0,100,16.0,0.001447956,111,2
20,8,0,110,18.0,0.001526273,121,3
20,8,0,120,18.0,0.001612794,131,0
20,8,0,130,20.0,0.001719896,141,1
20,8,0,140,20.0,0.001794209,151,0
20,8,0,150,20.0,0.002173738,161,1
20,8,0,160,20.0,0.002279736,171,2
20,8,0,170,20.0,0.002331648,181,3
20,8,0,180,20.0,0.002973251,191,4
20,8,0,190,20.0,0.003029589,201,5
20,8,0,200,20.0,0.003173243,211,6
20,8,0,210,20.0,0.003233352,221,7
20,8,0,220,20.0,0.003276858,231,8
20,8,0,230,20.0,0.003315131,241,9
20,8,0,240,20.0,0.003368443,251,10
20,8,0,250,20.0,0.00340944,261,11
20,8,0,260,20.0,0.003454327,271,12
20,8,0,270,20.0,0.003494669,281,13
20,8,0,280,20.0,0.00355024,291,14
20,8,0,290,20.0,0.003597075,301,15
20,8,0,300,20.0,0.003658301,311,16
20,8,0,310,20.0,0.003718364,321,17
20,8,0,320,20.0,0.003761919,331,18
20,8,0,330,20.0,0.003803617,341,19
20,8,0,340,20.0,0.003855533,351,20
20,8,0,350,20.0,0.00392865,361,21
20,8,0,360,20.0,0.003968346,371,22
20,8,0,370,20.0,0.004014734,381,23
20,8,0,380,20.0,0.004098534,391,24
20,8,0,390,20.0,0.004184338,401,25
20,8,0,400,20.0,0.004245982,411,26
20,8,0,410,20.0,0.004279374,421,27
20,8,0,420,20.0,0.004312659,431,28
20,8,0,430,20.0,0.004347076,441,29
20,8,0,440,20.0,0.00441731,451,30
20,8,0,450,20.0,0.004465499,461,31
20,8,0,460,20.0,0.00451256,471,32
20,8,0,470,20.0,0.004552277,481,33
20,8,0,480,20.0,0.004594245,491,34
20,8,0,490,20.0,0.00463226,501,35
20,8,0,500,20.0,0.00467698,511,36
20,8,0,510,20.0,0.004779951,521,37
20,8,0,520,20.0,0.004828409,531,38
20,8,0,530,20.0,0.004874249,541,39
20,8,0,540,20.0,0.004910175,551,40
20,8,0,550,20.0,0.004936778,561,41
20,8,0,560,20.0,0.004983758,571,42
20,8,0,570,20.0,0.005017713,581,43
20,8,0,580,20.0,0.005044349,591,44
20,8,0,590,20.0,0.005080571,601,45
20,8,0,600,20.0,0.005122237,611,46
20,8,0,610,20.0,0.005159118,621,47
20,8,0,620,20.0,0.005190857,631,48
