N,T,trial,iterations,fitness,time,fevals
20,8,0,0,4.0,6.25100000029e-06,11,0
20,8,0,10,5.0,1.03419999995e-05,21,0
20,8,0,20,5.0,1.3847e-05,31,0
20,8,0,30,4.0,1.80640000007e-05,41,1
20,8,0,40,5.0,2.15770000018e-05,51,2
20,8,0,50,5.0,2.54920000007e-05,61,3
20,8,0,60,6.0,2.9456e-05,71,4
20,8,0,70,7.0,3.42530000008e-05,81,0
20,8,0,80,7.0,3.80630000016e-05,91,0
20,8,0,90,9.0,4.25810000024e-05,101,1
20,8,0,100,9.0,4.64020000024e-05,111,0
20,8,0,110,9.0,5.06810000029e-05,121,1
20,8,0,120,9.0,5.43350000033e-05,131,2
20,8,0,130,9.0,5.79480000038e-05,141,3
20,8,0,140,9.0,6.14490000022e-05,151,4
20,8,0,150,9.0,6.46440000018e-05,161,5
20,8,0,160,9.0,6.79480000016e-05,171,6
20,8,0,170,9.0,7.14000000013e-05,181,7
20,8,0,180,11.0,7.49880000015e-05,191,8
20,8,0,190,11.0,7.89180000016e-05,201,0
20,8,0,200,31.0,0.000156779000003,211,1
20,8,0,210,31.0,0.000198094000002,221,0
20,8,0,220,31.0,0.000225346000001,231,1
20,8,0,230,31.0,0.000274412,241,2
20,8,0,240,31.0,0.000315246,251,3
20,8,0,250,31.0,0.000354790999999,261,4
20,8,0,260,31.0,0.000381129999999,271,5
20,8,0,270,31.0,0.00041319,281,6
20,8,0,280,31.0,0.000439562999999,291,7
20,8,0,290,31.0,0.000467836999999,301,8
20,8,0,300,31.0,0.000577486999997,311,9
20,8,0,310,31.0,0.000601041999998,321,10
20,8,0,320,31.0,0.000629744999998,331,11
20,8,0,330,31.0,0.000652953999998,341,12
20,8,0,340,31.0,0.000687758999998,351,13
20,8,0,350,31.0,0.000696049999998,361,14
20,8,0,360,31.0,0.000704449999997,371,15
20,8,0,370,31.0,0.000714050999997,381,16
20,8,0,380,31.0,0.000724907999997,391,17
20,8,0,390,31.0,0.000762057999998,401,18
20,8,0,400,31.0,0.000770661999997,411,19
20,8,0,410,31.0,0.000779324999998,421,20
20,8,0,420,31.0,0.000794659999999,431,21
20,8,0,430,31.0,0.000803534999999,441,22
20,8,0,440,31.0,0.000811673999999,451,23
20,8,0,450,31.0,0.000819925,461,24
20,8,0,460,31.0,0.000834813000001,471,25
20,8,0,470,31.0,0.00084318,481,26
20,8,0,480,31.0,0.000851355,491,27
20,8,0,490,31.0,0.000859561,501,28
20,8,0,500,31.0,0.000867595000001,511,29
20,8,0,510,31.0,0.000875711000001,521,30
20,8,0,520,31.0,0.000883786000001,531,31
20,8,0,530,31.0,0.000891945000001,541,32
20,8,0,540,31.0,0.000900055000001,551,33
20,8,0,550,31.0,0.000908404000002,561,34
20,8,0,560,31.0,0.000916491000003,571,35
20,8,0,570,31.0,0.000924454000003,581,36
20,8,0,580,31.0,0.000957938000003,591,37
20,8,0,590,31.0,0.000968332000003,601,38
20,8,0,600,31.0,0.000976856000003,611,39
20,8,0,610,31.0,0.000985254000001,621,40
20,8,0,620,31.0,0.000993483,631,41
20,8,0,630,31.0,0.001001572,641,42
20,8,0,640,31.0,0.001009831,651,43
20,8,0,650,31.0,0.001017814,661,44
20,8,0,660,31.0,0.001025717,671,45
20,8,0,670,31.0,0.001033775,681,46
20,8,0,680,31.0,0.001041865,691,47
20,8,0,690,31.0,0.001050008,701,48
20,8,0,700,31.0,0.001058091,711,49
20,8,0,710,31.0,0.001066205,721,50
20,8,0,720,31.0,0.001074105,731,51
20,8,0,730,31.0,0.001082104,741,52
20,8,0,740,31.0,0.001090087,751,53
20,8,0,750,31.0,0.001098185,761,54
20,8,0,760,31.0,0.001144314,771,55
20,8,0,770,31.0,0.001152421,781,56
20,8,0,780,31.0,0.001160541,791,57
20,8,0,790,31.0,0.001170123,801,58
20,8,0,800,31.0,0.001178244,811,59
20,8,0,810,31.0,0.001187304,821,60
20,8,0,820,31.0,0.001195569,831,61
20,8,0,830,31.0,0.001203798,841,62
20,8,0,840,31.0,0.001211994,851,63
20,8,0,850,31.0,0.001220189,861,64
20,8,0,860,31.0,0.001228275,871,65
20,8,0,870,31.0,0.001236474,881,66
20,8,0,880,31.0,0.00124445,891,67
20,8,0,890,31.0,0.001252533,901,68
20,8,0,900,31.0,0.00126064299999,911,69
20,8,0,910,31.0,0.00126879099999,921,70
20,8,0,920,31.0,0.00127750399999,931,71
20,8,0,930,31.0,0.00129264699999,941,72
20,8,0,940,31.0,0.00130188299999,951,73
20,8,0,950,31.0,0.00132047399999,961,74
20,8,0,960,31.0,0.00132907499999,971,75
20,8,0,970,31.0,0.00133766899999,981,76
20,8,0,980,31.0,0.00134582499999,991,77
20,8,0,990,31.0,0.00135423699999,1001,78
20,8,0,1000,31.0,0.00136214699999,1011,79
20,8,0,1010,31.0,0.00137011599999,1021,80
20,8,0,1020,31.0,0.00137805099999,1031,81
20,8,0,1030,31.0,0.00138658299999,1041,82
20,8,0,1040,31.0,0.00139452499999,1051,83
20,8,0,1050,31.0,0.00140299699999,1061,84
20,8,0,1060,31.0,0.00141111399999,1071,85
20,8,0,1070,31.0,0.00141962399999,1081,86
20,8,0,1080,31.0,0.00142778499999,1091,87
20,8,0,1090,31.0,0.00143582699999,1101,88
20,8,0,1100,31.0,0.00144395099999,1111,89
20,8,0,1110,31.0,0.00145193799999,1121,90
20,8,0,1120,31.0,0.00145997399999,1131,91
20,8,0,1130,31.0,0.00146795199999,1141,92
20,8,0,1140,31.0,0.00147577599999,1151,93
20,8,0,1150,31.0,0.00148403299999,1161,94
20,8,0,1160,31.0,0.00149400999999,1171,95
20,8,0,1170,31.0,0.00150273699999,1181,96
20,8,0,1180,31.0,0.00151206799999,1191,97
20,8,0,1190,31.0,0.00152155699999,1201,98
20,8,0,1200,31.0,0.00153408899999,1211,99
20,8,0,1200,31.0,0.00153408899999,1211,optimal
20,8,1,0,7.0,1.52970000009e-05,11,0
20,8,1,10,5.0,1.97240000013e-05,21,0
20,8,1,20,7.0,2.36870000023e-05,31,1
20,8,1,30,5.0,2.81740000023e-05,41,2
20,8,1,40,5.0,3.25460000035e-05,51,3
20,8,1,50,6.0,3.6650000002e-05,61,4
20,8,1,60,7.0,4.08130000018e-05,71,5
20,8,1,70,7.0,4.47270000024e-05,81,6
20,8,1,80,14.0,4.89820000009e-05,91,7
20,8,1,90,14.0,5.28759999998e-05,101,0
20,8,1,100,14.0,5.65100000003e-05,111,1
20,8,1,110,14.0,5.99470000004e-05,121,2
