N,trial,iterations,fitness,time,fevals
20,0,0,13.0,0.002246026,160,0
20,0,10,16.0,0.003252169,295,0
20,0,20,16.0,0.003822701,432,0
20,0,30,16.0,0.004151123,573,1
20,0,40,16.0,0.004403066,710,2
20,0,50,18.0,0.004597317,854,3
20,0,60,16.0,0.004884847,996,0
20,0,70,18.0,0.005093883,1142,1
20,0,80,18.0,0.005281038,1280,2
20,0,90,18.0,0.005500847,1416,3
20,0,100,17.0,0.005706357,1552,4
20,0,110,17.0,0.005933653,1692,5
20,0,120,16.0,0.006144056,1839,6
20,0,130,15.0,0.00634408,1976,7
20,0,140,15.0,0.00664701,2116,8
20,0,150,15.0,0.006792462,2255,9
20,0,160,16.0,0.00694287,2393,10
20,0,170,16.0,0.007090459,2535,11
20,0,180,16.0,0.007247677,2681,12
20,0,190,16.0,0.007389123,2822,13
20,0,200,16.0,0.007528061,2960,14
20,0,210,16.0,0.007676159,3097,15
20,0,220,16.0,0.007815226,3232,16
20,0,230,18.0,0.007989409,3376,17
20,0,240,18.0,0.008139783,3521,18
20,0,250,16.0,0.008296409,3662,19
20,0,260,16.0,0.008431667,3802,20
20,0,270,16.0,0.008568057,3945,21
20,0,280,15.0,0.008716126,4086,22
20,0,290,16.0,0.008873186,4230,23
20,0,300,16.0,0.009017273,4365,24
20,0,310,16.0,0.009164027,4506,25
20,0,320,17.0,0.0093132,4645,26
20,0,330,18.0,0.009513804,4785,27
20,0,340,18.0,0.009639089,4923,28
20,0,350,18.0,0.00975847,5063,29
20,0,360,18.0,0.009898754,5203,30
20,0,370,18.0,0.010048733,5338,31
20,0,380,16.0,0.010167944,5471,32
20,0,390,18.0,0.010290214,5620,33
20,0,400,17.0,0.010404557,5759,34
20,0,410,17.0,0.010521778,5901,35
20,0,420,15.0,0.010652747,6040,36
20,0,430,17.0,0.010797827,6181,37
20,0,440,17.0,0.010915896,6321,38
20,0,450,17.0,0.011029575,6459,39
20,0,460,17.0,0.011164308,6603,40
20,0,470,17.0,0.011286869,6743,41
20,0,480,17.0,0.011400876,6885,42
20,0,490,17.0,0.01151747,7023,43
20,0,500,15.0,0.011663275,7158,44
20,0,510,15.0,0.011785945,7296,45
20,0,520,15.0,0.011938459,7437,46
20,0,530,14.0,0.012055717,7569,47
20,0,540,16.0,0.012171233,7709,48
20,0,550,16.0,0.012325259,7850,49
20,0,560,16.0,0.012471135,7996,50
20,0,570,16.0,0.012662307,8134,51
20,0,580,17.0,0.012823776,8279,52
20,0,590,17.0,0.013004638,8421,53
20,0,600,17.0,0.013138151,8559,54
20,0,610,17.0,0.013285218,8700,55
20,0,620,16.0,0.013415785,8836,56
20,0,630,17.0,0.013539856,8979,57
20,0,640,16.0,0.013644444,9117,58
20,0,650,16.0,0.013749451,9262,59
20,0,660,16.0,0.013847082,9397,60
20,0,670,16.0,0.013966291,9540,61
20,0,680,16.0,0.014060341,9678,62
20,0,690,16.0,0.014156681,9816,63
20,0,700,16.0,0.014261583,9954,64
20,0,710,16.0,0.01435789,10096,65
20,0,720,16.0,0.014454157,10226,66
