N,trial,iterations,fitness,time,fevals
20,0,0,18.0,0.00275985099961,200,0
20,0,10,16.0,0.00511743199968,420,0
20,0,20,16.0,0.00723085799973,640,1
20,0,30,15.0,0.00916263499948,860,2
20,0,40,17.0,0.0110630299996,1080,3
20,0,50,17.0,0.0126800999997,1300,4
20,0,60,17.0,0.0142239869997,1520,5
20,0,70,15.0,0.0158059819996,1740,6
20,0,80,17.0,0.0174279369994,1960,7
20,0,90,17.0,0.0191120999993,2180,8
20,0,100,17.0,0.0208063179994,2400,9
20,0,110,15.0,0.022502076999,2620,10
20,0,120,17.0,0.024053706999,2840,11
20,0,130,16.0,0.0257226509989,3060,12
20,0,140,14.0,0.0272749829992,3280,13
20,0,150,15.0,0.0291967019989,3500,14
20,0,160,14.0,0.030709789999,3720,15
20,0,170,15.0,0.032271058999,3940,16
20,0,180,19.0,0.033786695999,4160,17
20,0,190,16.0,0.0353060079992,4380,0
20,0,200,16.0,0.0371816599991,4600,1
20,0,210,16.0,0.0391171529991,4820,2
20,0,220,18.0,0.0408958509993,5040,3
20,0,230,16.0,0.0423934179994,5260,4
20,0,240,16.0,0.0438200309991,5480,5
20,0,250,16.0,0.0453630139991,5700,6
20,0,260,18.0,0.0469485209992,5920,7
20,0,270,16.0,0.0484530029994,6140,8
20,0,280,18.0,0.0499047179992,6360,9
20,0,290,16.0,0.0514226429991,6580,10
20,0,300,16.0,0.0529794949994,6800,11
20,0,310,16.0,0.0544702929997,7020,12
20,0,320,18.0,0.0560078209996,7240,13
20,0,330,17.0,0.0575300709997,7460,14
20,0,340,18.0,0.0590480119999,7680,15
20,0,350,18.0,0.0606503959998,7900,16
20,0,360,18.0,0.0621914070002,8120,17
20,0,370,17.0,0.0638225960006,8340,18
20,0,380,18.0,0.0653123020006,8560,19
20,0,390,17.0,0.0672427100008,8780,20
20,0,400,17.0,0.0690374040009,9000,21
20,0,410,16.0,0.0706136320009,9220,22
20,0,420,16.0,0.072072113001,9440,23
20,0,430,16.0,0.073604690001,9660,24
20,0,440,16.0,0.0751420200008,9880,25
20,0,450,16.0,0.0766588620008,10100,26
20,0,460,15.0,0.0783282030011,10320,27
20,0,470,15.0,0.079839420001,10540,28
20,0,480,17.0,0.081423433001,10760,29
20,0,490,16.0,0.0831166870007,10980,30
20,0,500,15.0,0.0846849600007,11200,31
20,0,510,17.0,0.0862382700006,11420,32
20,0,520,17.0,0.0877284880007,11640,33
20,0,530,17.0,0.0891835420007,11860,34
20,0,540,17.0,0.0907631450009,12080,35
20,0,550,17.0,0.0923744420006,12300,36
20,0,560,16.0,0.0939755970007,12520,37
20,0,570,15.0,0.0957567660007,12740,38
20,0,580,15.0,0.0972514070008,12960,39
20,0,590,16.0,0.0988655390006,13180,40
20,0,600,16.0,0.100410392001,13400,41
20,0,610,14.0,0.102010700001,13620,42
20,0,620,16.0,0.103486886001,13840,43
20,0,630,15.0,0.105042275001,14060,44
20,0,640,16.0,0.106560784001,14280,45
20,0,650,16.0,0.108129489001,14500,46
20,0,660,18.0,0.110066330001,14720,47
20,0,670,16.0,0.111842976001,14940,48
20,0,680,16.0,0.113455093001,15160,49
20,0,690,19.0,0.114969268001,15380,50
20,0,700,16.0,0.116550794001,15600,51
20,0,710,14.0,0.118150689001,15820,52
20,0,720,15.0,0.119671597001,16040,53
20,0,730,17.0,0.121374340002,16260,54
20,0,740,17.0,0.122844879002,16480,55
20,0,750,17.0,0.124346852002,16700,56
20,0,760,17.0,0.126076891002,16920,57
20,0,770,18.0,0.127615251002,17140,58
20,0,780,18.0,0.129496616002,17360,59
20,0,790,17.0,0.131068929002,17580,60
20,0,800,17.0,0.132611629002,17800,61
20,0,810,17.0,0.134101864002,18020,62
20,0,820,18.0,0.135608996002,18240,63
20,0,830,16.0,0.137110820002,18460,64
20,0,840,16.0,0.139232859002,18680,65
20,0,850,18.0,0.140928369002,18900,66
20,0,860,16.0,0.142482367002,19120,67
20,0,870,16.0,0.144021559002,19340,68
20,0,880,15.0,0.145672349002,19560,69
20,0,890,16.0,0.147236554002,19780,70
20,0,900,16.0,0.148927330002,20000,71
20,0,910,16.0,0.150460603002,20220,72
20,0,920,16.0,0.152083490002,20440,73
20,0,930,16.0,0.153785449002,20660,74
20,0,940,16.0,0.155539694003,20880,75
20,0,950,16.0,0.157109727003,21100,76
20,0,960,16.0,0.158593976003,21320,77
20,0,970,16.0,0.160174272002,21540,78
20,0,980,16.0,0.161748585002,21760,79
20,0,990,16.0,0.163454070002,21980,80
20,0,1000,17.0,0.165343611002,22200,81
20,0,1010,16.0,0.166859383002,22420,82
20,0,1020,15.0,0.168768657002,22640,83
20,0,1030,15.0,0.170425142002,22860,84
20,0,1040,15.0,0.171924052002,23080,85
20,0,1050,17.0,0.173634431002,23300,86
20,0,1060,17.0,0.175250884002,23520,87
20,0,1070,15.0,0.176796497003,23740,88
20,0,1080,16.0,0.178340618003,23960,89
20,0,1090,19.0,0.179839787003,24180,90
20,0,1100,17.0,0.181388749003,24400,91
20,0,1110,17.0,0.182901541003,24620,92
20,0,1120,17.0,0.184512512003,24840,93
20,0,1130,19.0,0.186094810003,25060,94
20,0,1140,15.0,0.187610243003,25280,95
20,0,1150,14.0,0.189142749003,25500,96
20,0,1160,17.0,0.190634191003,25720,97
20,0,1170,16.0,0.192206208003,25940,98
20,0,1180,16.0,0.193934081003,26160,99
20,0,1180,19.0,0.193934081003,26160,optimal
20,1,0,16.0,0.00167620699995,200,0
20,1,10,17.0,0.00327070699996,420,0
20,1,20,15.0,0.0049864990001,640,0
20,1,30,16.0,0.00709467099978,860,1
20,1,40,15.0,0.00859605499954,1080,2
20,1,50,15.0,0.0101323749996,1300,3
20,1,60,17.0,0.0118207359997,1520,4
20,1,70,17.0,0.0133609969994,1740,5
20,1,80,18.0,0.014876795999,1960,6
20,1,90,18.0,0.0162841849992,2180,0
20,1,100,18.0,0.0177655689995,2400,1
20,1,110,18.0,0.0195359829995,2620,2
20,1,120,18.0,0.0213671059996,2840,3
