N,trial,iterations,fitness,time,fevals
20,0,0,12.0,0.000215162,11,0
20,0,10,14.0,0.000362525,21,0
20,0,20,14.0,0.000457153,31,0
20,0,30,14.0,0.000532905,41,1
20,0,40,14.0,0.000704932,51,2
20,0,50,14.0,0.000778546,61,3
20,0,60,14.0,0.00086184,71,4
20,0,70,14.0,0.000951265,81,5
20,0,80,14.0,0.001040803,91,6
20,0,90,14.0,0.001153176,101,7
20,0,100,14.0,0.001274057,111,8
20,0,110,14.0,0.001347315,121,9
20,0,120,14.0,0.001514122,131,10
20,0,130,14.0,0.001597418,141,11
20,0,140,14.0,0.00166911,151,12
20,0,150,14.0,0.002240825,161,13
20,0,160,14.0,0.002358191,171,14
20,0,170,14.0,0.00242828,181,15
20,0,180,14.0,0.002478244,191,16
20,0,190,14.0,0.002526656,201,17
20,0,200,14.0,0.002586938,211,18
20,0,210,14.0,0.002988244,221,19
20,0,220,14.0,0.003038137,231,20
20,0,230,14.0,0.003072643,241,21
20,0,240,14.0,0.003112809,251,22
20,0,250,14.0,0.003164901,261,23
20,0,260,14.0,0.003203784,271,24
20,0,270,14.0,0.003235709,281,25
20,0,280,14.0,0.003272218,291,26
20,0,290,14.0,0.003318717,301,27
20,0,300,14.0,0.003359781,311,28
20,0,310,14.0,0.003412717,321,29
20,0,320,14.0,0.003452959,331,30
20,0,330,14.0,0.003499217,341,31
20,0,340,14.0,0.003535032,351,32
20,0,350,14.0,0.003565691,361,33
20,0,360,14.0,0.003613427,371,34
20,0,370,14.0,0.003653193,381,35
20,0,380,14.0,0.003725778,391,36
20,0,390,14.0,0.003772272,401,37
20,0,400,14.0,0.003845002,411,38
20,0,410,14.0,0.00390193,421,39
20,0,420,14.0,0.003942263,431,40
20,0,430,14.0,0.003974,441,41
20,0,440,14.0,0.003999456,451,42
20,0,450,14.0,0.00403082,461,43
20,0,460,14.0,0.004055406,471,44
20,0,470,14.0,0.004082577,481,45
20,0,480,14.0,0.004105497,491,46
20,0,490,14.0,0.004156972,501,47
20,0,500,14.0,0.004205137,511,48
20,0,510,14.0,0.004268467,521,49
20,0,520,14.0,0.004303115,531,50
20,0,530,14.0,0.004352242,541,51
20,0,540,14.0,0.004391411,551,52
20,0,550,14.0,0.0044171,561,53
20,0,560,14.0,0.004445582,571,54
20,0,570,14.0,0.004467563,581,55
20,0,580,14.0,0.004506494,591,56
20,0,590,14.0,0.004529266,601,57
20,0,600,14.0,0.004563898,611,58
20,0,610,14.0,0.004586773,621,59
20,0,620,14.0,0.00461391,631,60
20,0,630,14.0,0.00465082,641,61
20,0,640,14.0,0.004677704,651,62
20,0,650,14.0,0.004705539,661,63
20,0,660,14.0,0.004729121,671,64
20,0,670,14.0,0.004757386,681,65
20,0,680,14.0,0.00490188,691,66
20,0,690,14.0,0.004958228,701,67
20,0,700,14.0,0.004986268,711,68
20,0,710,14.0,0.005017884,721,69
20,0,720,14.0,0.005049157,731,70
20,0,730,14.0,0.005087775,741,71
20,0,740,14.0,0.005114233,751,72
20,0,750,14.0,0.005149195,761,73
20,0,760,14.0,0.005177375,771,74
20,0,770,14.0,0.005203783,781,75
20,0,780,14.0,0.005227811,791,76
20,0,790,14.0,0.005251957,801,77
20,0,800,14.0,0.005284465,811,78
20,0,810,14.0,0.005308866,821,79
20,0,820,14.0,0.00533291,831,80
20,0,830,14.0,0.005358746,841,81
20,0,840,14.0,0.005384005,851,82
20,0,850,14.0,0.005407774,861,83
20,0,860,14.0,0.005442254,871,84
20,0,870,14.0,0.00547001,881,85
20,0,880,14.0,0.005493912,891,86
20,0,890,14.0,0.005516205,901,87
20,0,900,14.0,0.005548792,911,88
20,0,910,14.0,0.005577614,921,89
