N,trial,iterations,fitness,time,fevals
20,0,0,7.0,4.4560000001e-06,11,0
20,0,10,11.0,8.2680000002e-06,21,0
20,0,20,15.0,1.13820000003e-05,31,0
20,0,30,15.0,1.46810000006e-05,41,0
20,0,40,17.0,1.78270000002e-05,51,1
20,0,50,17.0,2.09240000002e-05,61,0
20,0,60,17.0,2.38380000002e-05,71,1
20,0,70,17.0,2.6665e-05,81,2
20,0,80,17.0,2.95680000004e-05,91,3
20,0,90,17.0,3.38620000004e-05,101,4
20,0,100,17.0,3.75500000005e-05,111,5
20,0,110,17.0,4.20090000004e-05,121,6
20,0,120,17.0,4.54280000004e-05,131,7
20,0,130,17.0,4.84920000003e-05,141,8
20,0,140,17.0,5.15170000002e-05,151,9
20,0,150,17.0,5.46940000001e-05,161,10
20,0,160,17.0,5.76360000002e-05,171,11
20,0,170,17.0,6.0645e-05,181,12
20,0,180,19.0,6.3538e-05,191,13
20,0,190,19.0,6.65280000001e-05,201,0
20,0,200,19.0,6.94860000001e-05,211,1
20,0,210,19.0,7.22280000005e-05,221,2
20,0,220,19.0,7.49670000006e-05,231,3
20,0,230,19.0,7.78490000006e-05,241,4
20,0,240,19.0,8.06940000002e-05,251,5
20,0,250,19.0,8.35620000004e-05,261,6
20,0,260,19.0,8.64780000005e-05,271,7
20,0,270,19.0,8.93240000006e-05,281,8
20,0,280,19.0,9.22510000008e-05,291,9
20,0,290,19.0,9.4986000001e-05,301,10
20,0,300,19.0,9.7702000001e-05,311,11
20,0,310,19.0,0.000100604000001,321,12
20,0,320,19.0,0.000103290000001,331,13
20,0,330,19.0,0.000105962000001,341,14
20,0,340,19.0,0.000108675,351,15
20,0,350,19.0,0.000111613,361,16
20,0,360,19.0,0.000114305,371,17
20,0,370,19.0,0.00011694,381,18
20,0,380,19.0,0.00011957,391,19
20,0,390,19.0,0.000122304,401,20
20,0,400,19.0,0.000124927,411,21
20,0,410,19.0,0.000127577,421,22
20,0,420,19.0,0.000130172,431,23
20,0,430,19.0,0.000132784000001,441,24
20,0,440,19.0,0.000135478000001,451,25
