iteration,MSE_trg,MSE_val,MSE_tst,acc_trg,acc_val,acc_tst,elapsed,
0,0.302958701,0.301904065,0.302577635,0.394021739,0.395962733,0.394641564,0.037254964,
10,0.120729691,0.122231046,0.122116565,0.730590062,0.72826087,0.727009413,0.175440418,
20,0.060282721,0.071194442,0.065975804,0.838509317,0.804347826,0.822592324,0.272815664,
30,0.031363302,0.038304147,0.035916735,0.920419255,0.908385093,0.914554671,0.367227217,
40,0.021847736,0.037155198,0.031056875,0.944875776,0.914596273,0.925416365,0.461995804,
50,0.018230795,0.034055164,0.032041613,0.952251553,0.913043478,0.918175235,0.55430751,
60,0.015939146,0.033458335,0.030338573,0.960791925,0.922360248,0.92903693,0.647514317,
70,0.014965446,0.03176213,0.031407843,0.96234472,0.925465839,0.927588704,0.739102449,
80,0.013729811,0.031497334,0.031096532,0.965450311,0.927018634,0.928312817,0.828274151,
90,0.013365213,0.030498683,0.030942803,0.966614907,0.930124224,0.92903693,0.918335362,
100,0.012519111,0.030155262,0.030405909,0.968555901,0.930124224,0.931209269,1.009332824,
110,0.01202693,0.030438382,0.029563025,0.970496894,0.928571429,0.931933382,1.098309774,
120,0.011751858,0.028668997,0.030160232,0.972049689,0.931677019,0.930485156,1.188655949,
130,0.011458993,0.029879514,0.030146209,0.973214286,0.930124224,0.930485156,1.27717713,
140,0.011211669,0.03018666,0.031010436,0.974767081,0.930124224,0.929761043,1.365249676,
150,0.010906818,0.031243935,0.031246595,0.974767081,0.928571429,0.931209269,1.45526132,
160,0.010606559,0.032081349,0.031612561,0.975543478,0.920807453,0.930485156,1.545070685,
170,0.010472354,0.033052266,0.03179327,0.973602484,0.920807453,0.92903693,1.633437897,
180,0.010360928,0.034676124,0.032769981,0.973990683,0.919254658,0.927588704,1.730964269,
190,0.010174182,0.034541834,0.032941075,0.974767081,0.919254658,0.926140478,1.82131957,
200,0.009983209,0.034117537,0.033055158,0.974378882,0.920807453,0.926864591,1.910373487,
210,0.009799566,0.034041919,0.03247203,0.974378882,0.922360248,0.931209269,2.001755113,
220,0.009632704,0.035191521,0.033021961,0.974767081,0.917701863,0.926864591,2.090441446,
230,0.00977478,0.034153311,0.033318067,0.974378882,0.919254658,0.926864591,2.184795715,
240,0.009472073,0.034657616,0.032841911,0.974767081,0.917701863,0.928312817,2.277936277,
250,0.009522791,0.034715353,0.033311828,0.976319876,0.917701863,0.926864591,2.368076841,
260,0.009298081,0.035515639,0.033147399,0.976708075,0.917701863,0.92903693,2.458472852,
270,0.009266902,0.035855409,0.033229461,0.976708075,0.914596273,0.926864591,2.546755612,
280,0.00921575,0.03574706,0.032586778,0.975931677,0.917701863,0.928312817,2.635448391,
290,0.009183076,0.035780491,0.032691148,0.975931677,0.917701863,0.92903693,2.723798871,
300,0.009202174,0.035841339,0.033024474,0.97515528,0.917701863,0.926864591,2.813945115,
310,0.009100875,0.034370883,0.033651233,0.975543478,0.920807453,0.927588704,2.912573166,
320,0.009075166,0.035204431,0.03303197,0.97515528,0.919254658,0.927588704,3.000623201,
330,0.009053213,0.035401405,0.033083475,0.975931677,0.919254658,0.927588704,3.091338697,
340,0.009010977,0.036032994,0.032997802,0.977096273,0.917701863,0.929761043,3.187221756,
350,0.008980833,0.035674819,0.033258651,0.976708075,0.919254658,0.928312817,3.278086455,
360,0.008894769,0.035084057,0.032927414,0.977096273,0.920807453,0.930485156,3.367638824,
370,0.008850824,0.035231514,0.032982014,0.976708075,0.920807453,0.928312817,3.459331146,
380,0.008846809,0.035317667,0.032302458,0.977484472,0.917701863,0.929761043,3.547176491,
390,0.009003069,0.035398861,0.032179443,0.975931677,0.917701863,0.92903693,3.637593266,
400,0.008733955,0.035466597,0.032275045,0.976708075,0.916149068,0.930485156,3.728519213,
410,0.008708,0.035493588,0.032204059,0.977096273,0.914596273,0.931933382,3.819917076,
420,0.008672492,0.035255003,0.032165042,0.976708075,0.914596273,0.930485156,3.908179131,
430,0.008658085,0.03518725,0.031954597,0.977096273,0.914596273,0.932657495,3.998257518,
440,0.008676751,0.034729294,0.031658343,0.975931677,0.916149068,0.931209269,4.088795008,
450,0.008632458,0.034738831,0.031502311,0.977484472,0.916149068,0.931933382,4.180331818,
460,0.008621141,0.034764308,0.031515308,0.977096273,0.916149068,0.931933382,4.269806812,
470,0.008805704,0.034782239,0.03148593,0.976708075,0.916149068,0.931933382,4.363662139,
480,0.008566744,0.034053521,0.031473654,0.977096273,0.917701863,0.931933382,4.454068993,
490,0.008583474,0.034067769,0.033078994,0.975931677,0.917701863,0.926864591,4.545397006,
500,0.008522319,0.034099105,0.033237994,0.975931677,0.917701863,0.928312817,4.635585809,
510,0.008501623,0.0340235,0.033595145,0.977096273,0.917701863,0.92903693,4.725394539,
520,0.008462922,0.034074273,0.033636165,0.977096273,0.917701863,0.927588704,4.81547817,
530,0.008426292,0.034091282,0.033357834,0.977096273,0.917701863,0.928312817,4.909071271,
540,0.008410098,0.034064338,0.033565303,0.976319876,0.917701863,0.927588704,4.997992244,
550,0.008427989,0.034086095,0.033284395,0.975931677,0.917701863,0.92903693,5.09022164,
560,0.008396466,0.034128035,0.033361367,0.975543478,0.917701863,0.926864591,5.1813119,
